cod;nome;período;valor
1300839;Caapiranga;2007;0
1300805;Borba;2007;6
1300706;"Boca do Acre";2007;0
1300680;"Boa Vista do Ramos";2007;0
1300631;Beruri;2007;1
1300607;"Benjamin Constant";2007;11
1300508;Barreirinha;2007;2
1300409;Barcelos;2007;2
1300300;Autazes;2007;0
1300201;"Atalaia do Norte";2007;0
1300144;Apuí;2007;4
1300102;Anori;2007;2
1300086;Anamã;2007;0
1300060;Amaturá;2007;0
1300029;Alvarães;2007;0
5007505;Rochedo;2007;0
5007554;"Santa Rita do Pardo";2007;1
5007695;"São Gabriel do Oeste";2007;1
5007703;"Sete Quedas";2007;5
5007802;Selvíria;2007;0
5007901;Sidrolândia;2007;9
5007935;Sonora;2007;2
5007950;Tacuru;2007;4
5007976;Taquarussu;2007;0
5008008;Terenos;2007;6
5008305;"Três Lagoas";2007;13
5008404;Vicentina;2007;1
5100102;Acorizal;2007;0
5100201;"Água Boa";2007;5
5100250;"Alta Floresta";2007;6
5100300;"Alto Araguaia";2007;4
5100359;"Alto Boa Vista";2007;0
5100409;"Alto Garças";2007;1
5100508;"Alto Paraguai";2007;0
5100607;"Alto Taquari";2007;1
5100805;Apiacás;2007;3
5101001;Araguaiana;2007;1
5101209;Araguainha;2007;0
5101258;Araputanga;2007;3
5101308;Arenápolis;2007;3
5101407;Aripuanã;2007;10
5101605;"Barão de Melgaço";2007;0
5101704;"Barra do Bugres";2007;4
5101803;"Barra do Garças";2007;4
5101852;"Bom Jesus do Araguaia";2007;0
5101902;Brasnorte;2007;7
5102504;Cáceres;2007;26
5102603;Campinápolis;2007;0
5102637;"Campo Novo do Parecis";2007;3
5102678;"Campo Verde";2007;10
5102686;"Campos de Júlio";2007;2
5102694;"Canabrava do Norte";2007;2
5102702;Canarana;2007;2
5102793;Carlinda;2007;1
5102850;Castanheira;2007;5
5103007;"Chapada dos Guimarães";2007;3
5103056;Cláudia;2007;0
5103106;Cocalinho;2007;1
5103205;Colíder;2007;7
5103254;Colniza;2007;25
5103304;Comodoro;2007;4
5103353;Confresa;2007;10
5103361;"Conquista D'Oeste";2007;0
5103379;Cotriguaçu;2007;7
5103403;Cuiabá;2007;214
5103437;Curvelândia;2007;1
5103452;Denise;2007;1
5103502;Diamantino;2007;4
5103601;"Dom Aquino";2007;4
5103700;"Feliz Natal";2007;5
5103809;"Figueirópolis D'Oeste";2007;1
5103858;"Gaúcha do Norte";2007;3
5103908;"General Carneiro";2007;0
5103957;"Glória D'Oeste";2007;0
5104104;"Guarantã do Norte";2007;6
5104203;Guiratinga;2007;1
5104500;Indiavaí;2007;0
5104526;"Ipiranga do Norte";2007;1
5104542;Itanhangá;2007;5
5104559;Itaúba;2007;2
5104609;Itiquira;2007;0
5104807;Jaciara;2007;6
5104906;Jangada;2007;1
5105002;Jauru;2007;2
5105101;Juara;2007;8
5105150;Juína;2007;10
5105176;Juruena;2007;6
5105200;Juscimeira;2007;2
5105234;"Lambari D'Oeste";2007;2
5105259;"Lucas do Rio Verde";2007;10
5105309;Luciara;2007;0
5105507;"Vila Bela da Santíssima Trindade";2007;4
5105580;Marcelândia;2007;2
5105606;Matupá;2007;2
5105622;"Mirassol d'Oeste";2007;11
5105903;Nobres;2007;0
5201801;Aragoiânia;2007;0
5202155;Araguapaz;2007;0
5202353;Arenópolis;2007;0
5202502;Aruanã;2007;0
5202601;Aurilândia;2007;1
5202809;Avelinópolis;2007;0
5203104;Baliza;2007;0
5203203;"Barro Alto";2007;2
5203302;"Bela Vista de Goiás";2007;6
5203401;"Bom Jardim de Goiás";2007;3
5203500;"Bom Jesus de Goiás";2007;2
5203559;Bonfinópolis;2007;0
5203575;Bonópolis;2007;1
5203609;Brazabrantes;2007;0
5203807;Britânia;2007;1
5203906;"Buriti Alegre";2007;1
5204003;Cabeceiras;2007;0
5204102;"Cachoeira Alta";2007;0
5204201;"Cachoeira de Goiás";2007;0
5204250;"Cachoeira Dourada";2007;0
5204300;Caçu;2007;0
5204409;Caiapônia;2007;2
5204508;"Caldas Novas";2007;11
5204557;Caldazinha;2007;0
5204607;"Campestre de Goiás";2007;0
5204656;Campinaçu;2007;0
5204706;Campinorte;2007;0
5204805;"Campo Alegre de Goiás";2007;0
5204854;"Campo Limpo de Goiás";2007;1
5204904;"Campos Belos";2007;3
5204953;"Campos Verdes";2007;4
5205000;"Carmo do Rio Verde";2007;2
5205059;Castelândia;2007;0
5205109;Catalão;2007;9
5205208;Caturaí;2007;0
5205307;Cavalcante;2007;0
5205406;Ceres;2007;2
5205455;Cezarina;2007;0
5205471;"Chapadão do Céu";2007;0
5205497;"Cidade Ocidental";2007;27
5205513;"Cocalzinho de Goiás";2007;1
5205521;"Colinas do Sul";2007;2
5205703;"Córrego do Ouro";2007;0
5205802;"Corumbá de Goiás";2007;2
5205901;Corumbaíba;2007;2
5206206;Cristalina;2007;22
5206305;Cristianópolis;2007;0
5206404;Crixás;2007;2
5206503;Cromínia;2007;0
5206602;Cumari;2007;0
5206701;Damianópolis;2007;0
5206800;Damolândia;2007;0
5206909;Davinópolis;2007;1
5207105;Diorama;2007;0
5207253;Doverlândia;2007;2
5207352;Edealina;2007;0
5207402;Edéia;2007;1
5207501;"Estrela do Norte";2007;0
5207535;Faina;2007;0
5207600;"Fazenda Nova";2007;0
5207808;Firminópolis;2007;1
5207907;"Flores de Goiás";2007;4
5208004;Formosa;2007;58
5208103;Formoso;2007;2
5208152;"Gameleira de Goiás";2007;1
5208301;"Divinópolis de Goiás";2007;1
5208400;Goianápolis;2007;2
5208509;Goiandira;2007;0
5208608;Goianésia;2007;15
5208707;Goiânia;2007;344
5208806;Goianira;2007;5
5208905;Goiás;2007;2
5209101;Goiatuba;2007;10
5209150;Gouvelândia;2007;0
5209200;Guapó;2007;1
5209291;Guaraíta;2007;0
5209408;"Guarani de Goiás";2007;0
5209457;Guarinos;2007;0
5209606;Heitoraí;2007;0
5209705;Hidrolândia;2007;0
5209804;Hidrolina;2007;0
5209903;Iaciara;2007;6
5209937;Inaciolândia;2007;0
5209952;Indiara;2007;1
5210000;Inhumas;2007;17
5210109;Ipameri;2007;6
1301308;Codajás;2007;6
1301407;Eirunepé;2007;3
1301506;Envira;2007;3
1301605;"Fonte Boa";2007;0
1301654;Guajará;2007;0
1301704;Humaitá;2007;7
1301803;Ipixuna;2007;1
1301852;Iranduba;2007;8
1301902;Itacoatiara;2007;9
1301951;Itamarati;2007;2
1302009;Itapiranga;2007;0
1302108;Japurá;2007;0
1302207;Juruá;2007;0
1302306;Jutaí;2007;1
1302405;Lábrea;2007;1
1302504;Manacapuru;2007;9
1302553;Manaquiri;2007;1
1302603;Manaus;2007;556
1302702;Manicoré;2007;2
1302801;Maraã;2007;1
1302900;Maués;2007;2
1303007;Nhamundá;2007;0
1303106;"Nova Olinda do Norte";2007;1
1303205;"Novo Airão";2007;2
1303304;"Novo Aripuanã";2007;1
1303403;Parintins;2007;7
1303502;Pauini;2007;1
1303536;"Presidente Figueiredo";2007;5
1303569;"Rio Preto da Eva";2007;1
1303601;"Santa Isabel do Rio Negro";2007;1
1303700;"Santo Antônio do Içá";2007;2
1303809;"São Gabriel da Cachoeira";2007;9
1303908;"São Paulo de Olivença";2007;1
1303957;"São Sebastião do Uatumã";2007;0
1304005;Silves;2007;1
1304062;Tabatinga;2007;19
1304104;Tapauá;2007;0
1304203;Tefé;2007;5
1304237;Tonantins;2007;0
1304260;Uarini;2007;1
1304302;Urucará;2007;0
1304401;Urucurituba;2007;0
1400027;Amajari;2007;2
1400050;"Alto Alegre";2007;7
1400100;"Boa Vista";2007;65
1400159;Bonfim;2007;4
