cod;nome;período;valor
3;SE;1989;15530
1;N;1989;1787
5;CO;1989;1983
2;NE;1989;6440
4;S;1989;3027
4;S;1990;3259
5;CO;1990;1907
1;N;1990;1961
2;NE;1990;6225
3;SE;1990;18663
4;S;1991;3274
5;CO;1991;2181
1;N;1991;2035
2;NE;1991;6322
3;SE;1991;16940
4;S;1992;3023
5;CO;1992;2030
1;N;1992;1847
2;NE;1992;6033
3;SE;1992;15622
4;S;1993;2785
5;CO;1993;2100
1;N;1993;1815
2;NE;1993;7018
3;SE;1993;16900
4;S;1994;2940
5;CO;1994;2168
1;N;1994;1902
2;NE;1994;6936
3;SE;1994;18685
4;S;1995;3246
5;CO;1995;2632
1;N;1995;1846
2;NE;1995;7287
3;SE;1995;22141
1;N;1996;1945
5;CO;1996;2779
2;NE;1996;8126
4;S;1996;3273
3;SE;1996;22806
3;SE;1997;23254
5;CO;1997;2852
1;N;1997;2019
2;NE;1997;8754
4;S;1997;3652
4;S;1998;3563
5;CO;1998;2839
1;N;1998;2335
2;NE;1998;8492
3;SE;1998;24745
4;S;1999;3624
5;CO;1999;2905
1;N;1999;2135
2;NE;1999;8139
3;SE;1999;26144
4;S;2000;3890
5;CO;2000;3413
1;N;2000;2392
2;NE;2000;9253
3;SE;2000;26485
4;S;2001;4383
5;CO;2001;3454
1;N;2001;2647
2;NE;2001;10595
3;SE;2001;26953
4;S;2002;4763
5;CO;2002;3643
1;N;2002;2944
2;NE;2002;10967
3;SE;2002;27499
2;NE;2003;11868
5;CO;2003;3701
3;SE;2003;27661
1;N;2003;3171
4;S;2003;5133
2;NE;2004;11585
3;SE;2004;24972
4;S;2004;5446
1;N;2004;3177
5;CO;2004;3729
3;SE;2005;22103
5;CO;2005;3663
1;N;2005;3685
2;NE;2005;13054
4;S;2005;5631
4;S;2006;5747
5;CO;2006;3748
1;N;2006;4057
2;NE;2006;14447
3;SE;2006;21705
4;S;2007;5936
5;CO;2007;3831
1;N;2007;3992
2;NE;2007;15470
3;SE;2007;18990
4;S;2008;6627
5;CO;2008;4240
1;N;2008;4855
2;NE;2008;17107
3;SE;2008;17830
4;S;2009;6760
5;CO;2009;4509
1;N;2009;5193
2;NE;2009;17932
3;SE;2009;17649
4;S;2010;6494
5;CO;2010;4393
1;N;2010;6022
2;NE;2010;18963
3;SE;2010;17144
4;S;2011;6264
5;CO;2011;4856
1;N;2011;5644
2;NE;2011;19486
3;SE;2011;16557
1;N;2012;6090
5;CO;2012;5504
2;NE;2012;21192
4;S;2012;6692
3;SE;2012;17567
3;SE;2013;17485
5;CO;2013;5600
1;N;2013;6101
2;NE;2013;22163
4;S;2013;6047
4;S;2014;6609
5;CO;2014;5788
1;N;2014;6291
2;NE;2014;23550
3;SE;2014;18236
4;S;2015;6837
5;CO;2015;5576
1;N;2015;6963
2;NE;2015;23228
3;SE;2015;16476
4;S;2016;7289
5;CO;2016;5647
1;N;2016;7903
2;NE;2016;24863
3;SE;2016;16815
4;S;2017;7141
5;CO;2017;5272
1;N;2017;8507
2;NE;2017;27815
3;SE;2017;16867
4;S;2018;5992
5;CO;2018;4828
1;N;2018;8368
2;NE;2018;24090
3;SE;2018;14678
2;NE;2019;18669
5;CO;2019;4119
3;SE;2019;10849
1;N;2019;6820
4;S;2019;5046
